text,intent,domain
I want to check the shipping status.,track_order,retail
Show me some new shoes.,browse_products,retail
I'd like to return my order.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
How can I send back an item?,return_item,retail
Can I see the latest electronics?,browse_products,retail
I'd like to return my order.,return_item,retail
Can I see the latest electronics?,browse_products,retail
I want to return a product.,return_item,retail
Track my package.,track_order,retail
How can I send back an item?,return_item,retail
I'd like to return my order.,return_item,retail
I want to return a product.,return_item,retail
Can I see the latest electronics?,browse_products,retail
I want to return a product.,return_item,retail
Show me some new shoes.,browse_products,retail
I want to return a product.,return_item,retail
I want to return a product.,return_item,retail
I want to check the shipping status.,track_order,retail
How can I send back an item?,return_item,retail
Help me with a return.,return_item,retail
I want to check the shipping status.,track_order,retail
I want to check the shipping status.,track_order,retail
How can I send back an item?,return_item,retail
Can I see the latest electronics?,browse_products,retail
Show me some new shoes.,browse_products,retail
Show me some new shoes.,browse_products,retail
Where is my order?,track_order,retail
How can I send back an item?,return_item,retail
What clothes are on sale?,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
Track my package.,track_order,retail
Is my delivery on the way?,track_order,retail
I'd like to return my order.,return_item,retail
What clothes are on sale?,browse_products,retail
I'd like to return my order.,return_item,retail
I want to check the shipping status.,track_order,retail
Help me with a return.,return_item,retail
What clothes are on sale?,browse_products,retail
Can I see the latest electronics?,browse_products,retail
I want to return a product.,return_item,retail
What clothes are on sale?,browse_products,retail
I want to check the shipping status.,track_order,retail
Show me some new shoes.,browse_products,retail
I want to return a product.,return_item,retail
I want to return a product.,return_item,retail
I want to check the shipping status.,track_order,retail
Where is my order?,track_order,retail
Track my package.,track_order,retail
I'd like to return my order.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
Help me with a return.,return_item,retail
How can I send back an item?,return_item,retail
Where is my order?,track_order,retail
Track my package.,track_order,retail
Show me some new shoes.,browse_products,retail
Show me some new shoes.,browse_products,retail
Help me with a return.,return_item,retail
I'd like to return my order.,return_item,retail
How can I send back an item?,return_item,retail
I want to check the shipping status.,track_order,retail
I want to check the shipping status.,track_order,retail
Is my delivery on the way?,track_order,retail
Where is my order?,track_order,retail
Is my delivery on the way?,track_order,retail
Where is my order?,track_order,retail
I want to check the shipping status.,track_order,retail
Show me some new shoes.,browse_products,retail
Help me with a return.,return_item,retail
Where is my order?,track_order,retail
I'd like to return my order.,return_item,retail
Help me with a return.,return_item,retail
Is my delivery on the way?,track_order,retail
Is my delivery on the way?,track_order,retail
Show me some new shoes.,browse_products,retail
Show me some new shoes.,browse_products,retail
Help me with a return.,return_item,retail
I want to return a product.,return_item,retail
How can I send back an item?,return_item,retail
Show me some new shoes.,browse_products,retail
I want to return a product.,return_item,retail
Track my package.,track_order,retail
I'm looking for a new jacket.,browse_products,retail
Show me some new shoes.,browse_products,retail
Where is my order?,track_order,retail
I'm looking for a new jacket.,browse_products,retail
Can I see the latest electronics?,browse_products,retail
What clothes are on sale?,browse_products,retail
Track my package.,track_order,retail
Is my delivery on the way?,track_order,retail
Help me with a return.,return_item,retail
I want to check the shipping status.,track_order,retail
I want to check the shipping status.,track_order,retail
Where is my order?,track_order,retail
I'd like to return my order.,return_item,retail
I'd like to return my order.,return_item,retail
Can I see the latest electronics?,browse_products,retail
Can I see the latest electronics?,browse_products,retail
Can I see the latest electronics?,browse_products,retail
Track my package.,track_order,retail
I'm looking for a new jacket.,browse_products,retail
Track my package.,track_order,retail
I want to check the shipping status.,track_order,retail
I'd like to return my order.,return_item,retail
I want to return a product.,return_item,retail
Show me some new shoes.,browse_products,retail
Where is my order?,track_order,retail
I'm looking for a new jacket.,browse_products,retail
I want to check the shipping status.,track_order,retail
Track my package.,track_order,retail
Can I see the latest electronics?,browse_products,retail
Track my package.,track_order,retail
I'd like to return my order.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
I'd like to return my order.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
Track my package.,track_order,retail
Is my delivery on the way?,track_order,retail
I want to check the shipping status.,track_order,retail
How can I send back an item?,return_item,retail
Help me with a return.,return_item,retail
How can I send back an item?,return_item,retail
Help me with a return.,return_item,retail
Show me some new shoes.,browse_products,retail
Help me with a return.,return_item,retail
Can I see the latest electronics?,browse_products,retail
I'd like to return my order.,return_item,retail
I want to return a product.,return_item,retail
Is my delivery on the way?,track_order,retail
Show me some new shoes.,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
How can I send back an item?,return_item,retail
Show me some new shoes.,browse_products,retail
Is my delivery on the way?,track_order,retail
Can I see the latest electronics?,browse_products,retail
Show me some new shoes.,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
What clothes are on sale?,browse_products,retail
Show me some new shoes.,browse_products,retail
Can I see the latest electronics?,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
What clothes are on sale?,browse_products,retail
Help me with a return.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
I want to check the shipping status.,track_order,retail
What clothes are on sale?,browse_products,retail
Show me some new shoes.,browse_products,retail
I'd like to return my order.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
I want to return a product.,return_item,retail
Can I see the latest electronics?,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
I want to check the shipping status.,track_order,retail
I want to return a product.,return_item,retail
I'd like to return my order.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
Track my package.,track_order,retail
Is my delivery on the way?,track_order,retail
I want to check the shipping status.,track_order,retail
How can I send back an item?,return_item,retail
Help me with a return.,return_item,retail
Show me some new shoes.,browse_products,retail
Help me with a return.,return_item,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
What clothes are on sale?,browse_products,retail
I want to check the shipping status.,track_order,retail
I want to return a product.,return_item,retail
I'd like to return my order.,return_item,retail
How can I send back an item?,return_item,retail
I'd like to return my order.,return_item,retail
Show me some new shoes.,browse_products,retail
Is my delivery on the way?,track_order,retail
Can I see the latest electronics?,browse_products,retail
What clothes are on sale?,browse_products,retail
Can I see the latest electronics?,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
What clothes are on sale?,browse_products,retail
Show me some new shoes.,browse_products,retail
What clothes are on sale?,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
Track my package.,track_order,retail
I want to check the shipping status.,track_order,retail
I'd like to return my order.,return_item,retail
Show me some new shoes.,browse_products,retail
I'm looking for a new jacket.,browse_products,retail
I want to check the shipping status.,track_order,retail
Track my package.,track_order,retail
I want to return a product.,return_item,retail
I'd like to return my order.,return_item,retail
I want to check the shipping status.,track_order,retail
I want to check the shipping status.,track_order,retail
